batch_size,tokens_generated,latency_mean,latency_p50,latency_p95,latency_std,throughput_tokens_per_sec,peak_gpu_mem_mb,gpu_mem_delta_mb
1,50,0.3777035713195801,0.3399479389190674,0.49286098480224605,0.07498009823096548,132.37894422156344,176.0751953125,0.0009765625
2,100,0.6149129390716552,0.6650111675262451,0.8192225456237793,0.16322716177297697,162.62464756551023,177.55859375,0.00146484375
4,200,0.21496853828430176,0.2136707305908203,0.23768911361694336,0.01683533711042508,930.3687023051464,180.48974609375,0.00244140625
