input_seq_length,tokens_generated,total_seq_length,mean_latency_sec,latency_per_token_ms,tokens_per_sec,peak_gpu_mem_mb,estimated_cache_mb,n_layers,hidden_size
32,50,82,0.13436166445414224,2.6872332890828448,372.12995390560263,176.53369140625,1.44140625,6,768
64,50,114,0.16553052266438803,3.3106104532877603,302.0590957800251,177.81396484375,2.00390625,6,768
128,50,178,0.1888273557027181,3.7765471140543623,264.79214208092765,181.00439453125,3.12890625,6,768
256,50,306,0.20397551854451498,4.0795103708903,245.12745625935574,187.88525390625,5.37890625,6,768
512,50,562,0.18202312787373862,3.640462557474772,274.6903681090613,200.64697265625,9.87890625,6,768
